table_name,column_name,data_type,is_nullable
messages,id,bigint,NO
order_items,order_id,bigint,YES
order_items,product_id,bigint,YES
order_items,is_reviewed,boolean,YES
order_items,created_at,timestamp with time zone,YES
order_items,selected_variant,jsonb,YES
order_items,price_at_purchase,numeric,NO
order_items,quantity,integer,NO
order_items,id,bigint,NO
order_vouchers,id,uuid,NO
order_vouchers,applied_on_item_id,uuid,YES
order_vouchers,created_at,timestamp with time zone,YES
order_vouchers,discount_type,character varying,NO
order_vouchers,order_id,bigint,NO
order_vouchers,voucher_id,uuid,NO
order_vouchers,discount_amount,numeric,NO
orders,phone_contact,text,NO
orders,cancelled_at,timestamp with time zone,YES
orders,id,bigint,NO
orders,user_id,uuid,YES
orders,status,USER-DEFINED,YES
orders,total_amount,numeric,NO
orders,created_at,timestamp with time zone,YES
orders,shop_discounts,jsonb,YES
orders,platform_discount,numeric,YES
orders,platform_voucher_id,uuid,YES
orders,address_id,uuid,YES
orders,shipping_method_id,uuid,YES
orders,shipping_fee,numeric,YES
orders,time_finished,timestamp with time zone,YES
orders,processing_at,timestamp with time zone,YES
orders,shipping_at,timestamp with time zone,YES
orders,completed_at,timestamp with time zone,YES
orders,receiver_name,text,YES
orders,receiver_phone,text,YES
orders,full_shipping_address,text,YES
orders,shipping_address,text,NO
posts,updated_at,timestamp with time zone,YES
posts,tags,ARRAY,YES
posts,id,bigint,NO
posts,author_name,text,YES
posts,cover_image,text,YES
posts,content,text,YES
posts,excerpt,text,YES
posts,slug,text,YES
posts,related_product_ids,ARRAY,YES
posts,title,text,NO
posts,is_published,boolean,YES
posts,published_at,timestamp with time zone,YES
posts,created_at,timestamp with time zone,YES
product_discounts,end_date,timestamp with time zone,NO
product_discounts,start_date,timestamp with time zone,NO
product_discounts,is_active,boolean,YES
product_discounts,created_at,timestamp with time zone,YES
product_discounts,discount_value,numeric,NO
product_discounts,discount_type,text,NO
product_discounts,product_id,bigint,NO
product_discounts,id,uuid,NO
product_variants,id,uuid,NO
product_variants,color,text,YES
product_variants,created_at,timestamp with time zone,YES
product_variants,stock,integer,NO
product_variants,price,numeric,YES
product_variants,sku,text,YES
product_variants,product_id,bigint,YES
product_variants,size,text,YES
product_view_history,product_id,bigint,NO
product_view_history,id,uuid,NO
product_view_history,viewed_at,timestamp with time zone,NO
product_view_history,user_id,uuid,NO
products,fts,tsvector,YES
products,name,text,NO
products,description,text,YES
products,images,ARRAY,YES
products,short_description,text,YES
products,id,bigint,NO
products,category_id,bigint,YES
products,price,numeric,NO
products,variants,jsonb,YES
products,stock,integer,YES
products,is_active,boolean,YES
products,created_at,timestamp with time zone,YES
products,collection_id,bigint,YES
products,specifications,jsonb,YES
products,shipping_info,jsonb,YES
profiles,full_name,text,YES
profiles,total_spending,numeric,YES
profiles,recent_views,jsonb,YES
profiles,updated_at,timestamp with time zone,YES
profiles,created_at,timestamp with time zone,YES
profiles,membership_level_id,uuid,YES
profiles,phone,text,YES
profiles,avatar_url,text,YES
profiles,role,USER-DEFINED,YES
profiles,id,uuid,NO
reviews,id,uuid,NO
reviews,created_at,timestamp with time zone,NO
reviews,comment,text,YES
reviews,images,ARRAY,YES
reviews,rating,numeric,NO
reviews,order_id,bigint,NO
reviews,product_id,bigint,NO
reviews,user_id,uuid,NO
reviews,is_edited,boolean,YES
reviews,order_item_id,bigint,YES
shipping_methods,max_time,text,NO
shipping_methods,id,uuid,NO
shipping_methods,name,text,NO
shipping_methods,is_active,boolean,YES
shipping_methods,price,numeric,NO
shipping_methods,code,text,NO
shipping_methods,created_at,timestamp with time zone,YES
shipping_methods,min_time,text,NO
shipping_methods,unit,text,YES
user_addresses,updated_at,timestamp with time zone,YES
user_addresses,is_default,boolean,YES
user_addresses,created_at,timestamp with time zone,YES
user_addresses,phone_number,text,NO
user_addresses,province_city,text,NO
user_addresses,district,text,NO
user_addresses,ward_commune,text,YES
user_addresses,street_address,text,NO
user_addresses,receiver_name,text,NO
user_addresses,user_id,uuid,NO
user_addresses,id,uuid,NO
vouchers,id,uuid,NO
vouchers,code,text,NO
vouchers,discount_type,character varying,NO
vouchers,is_public,boolean,YES
vouchers,max_discount,numeric,YES
vouchers,voucher_type,character varying,NO
vouchers,conditions,jsonb,YES
vouchers,expired_at,timestamp with time zone,YES
vouchers,created_at,timestamp with time zone,YES
vouchers,is_active,boolean,YES
vouchers,start_date,timestamp with time zone,YES
vouchers,min_order_value,numeric,YES
vouchers,used_count,integer,YES
vouchers,usage_limit,integer,YES
vouchers,discount_value,numeric,NO
wishlist,created_at,timestamp with time zone,NO
wishlist,product_id,bigint,NO
wishlist,id,uuid,NO
wishlist,user_id,uuid,NO
