schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,user_vouchers,user_insert_own_vouchers,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,user_vouchers,admin_all_user_vouchers,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role))))",null
public,product_variants,Enable read access for all users,PERMISSIVE,{public},SELECT,true,null
public,orders,staff_admin_view_all_orders,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))",null
public,vouchers,admin_manage_vouchers,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))"
public,orders,staff_admin_update_orders,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))"
public,product_variants,staff_admin_manage_variants,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))"
public,product_images,staff_admin_manage_images,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))"
public,categories,admin_manage_categories,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))"
public,products,Staff/Admin can delete products,PERMISSIVE,{public},DELETE,"(auth.uid() IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role]))))",null
public,product_images,Enable read access for all users,PERMISSIVE,{public},SELECT,true,null
public,reviews,Admins can update all reviews,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role))))",null
public,reviews,Admins can delete all reviews,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role))))",null
public,order_vouchers,Enable read access for all users,PERMISSIVE,{public},SELECT,true,null
public,user_vouchers,user_update_own_vouchers,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,vouchers,user_update_vouchers_usage,PERMISSIVE,{public},UPDATE,(is_active = true),(is_active = true)
public,product_images,Public read product_images,PERMISSIVE,{public},SELECT,true,null
public,return_requests,Users own returns,PERMISSIVE,{public},ALL,"((auth.uid() = user_id) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role]))))))",null
public,return_items,Users own return items,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM return_requests rr
  WHERE ((rr.id = return_items.return_request_id) AND ((rr.user_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles
          WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))))))",null
public,return_items,Admins insert ri,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))"
public,product_discounts,admin_all_product_discounts,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))"
public,cart_items,Users can view own cart items,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,orders,Users can insert own orders,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,order_vouchers,admin_all_order_vouchers,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))"
public,order_vouchers,user_insert_order_vouchers,PERMISSIVE,{authenticated},INSERT,null,true
public,banners,Public can view active banners,PERMISSIVE,{public},SELECT,(is_active = true),null
public,banners,Staff and admins can view all banners,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))",null
public,banners,Admins and staff can manage banners,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))"
public,profiles,Users can view own profile,PERMISSIVE,{authenticated},SELECT,(auth.uid() = id),null
public,profiles,Public profiles are viewable by everyone,PERMISSIVE,{public},SELECT,true,null
public,profiles,Users can update own profile,PERMISSIVE,{authenticated},UPDATE,(auth.uid() = id),null
public,membership_levels,Cho phép đọc membership levels cho tất cả người dùn,PERMISSIVE,{authenticated},SELECT,true,null
public,orders,Users can view own orders,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,membership_levels,Cho phép admin/staff quản lý membership levels,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::user_role, 'staff'::user_role])))))"
public,membership_levels,Allow read all,PERMISSIVE,{public},SELECT,true,null
public,membership_levels,Allow service_role all,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,order_items,Users can view own order items,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM orders
  WHERE ((orders.id = order_items.order_id) AND (orders.user_id = auth.uid()))))",null
public,order_items,Users can insert own order items,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM orders
  WHERE ((orders.id = order_items.order_id) AND (orders.user_id = auth.uid()))))"
